Fiscal year,Ticker,SHORT NAME,Audit fees,Non audit fees,Total fees,Benefits fees,It fees,Tax fees,Audit related fees,Other fees,Restatement,Auditor name,ShrOut,BalSheetBookVal,Matchfy balsh book value,Matchfy balsh total assets,Matchfy balsh cash and cash equivalents
2001,CATO,CATO,260150,29476,289626,0,0,0,0,29476,0,Deloitte & Touche LLP,19538000,207757000,207757000,310742000,25201000
2015,CATO,CATO,612000,243800,855800,0,0,203000,39000,1800,0,PricewaterhouseCoopers LLP,27912000,380198000,380198000,608278000,98425000
2014,CATO,CATO,600000,144300,744300,0,0,104500,38000,1800,1,PricewaterhouseCoopers LLP,29259000,391109000,391109000,596918000,84128000
2013,CATO,CATO,620000,65400,685400,0,0,30000,35400,0,0,PricewaterhouseCoopers LLP,29284000,345234000,345234000,532646000,37068000
2012,CATO,CATO,553000,62000,615000,0,0,28000,34000,0,0,PricewaterhouseCoopers LLP,29159000,366679000,366679000,551089000,40218000
2011,CATO,CATO,465500,62000,527500,0,0,28000,34000,0,1,PricewaterhouseCoopers LLP,29502000,325564000,325564000,522092000,53456000
2010,CATO,CATO,447000,129000,576000,0,0,36000,93000,0,0,PricewaterhouseCoopers LLP,29585000,291312000,291312000,480990000,52960000
2009,CATO,CATO,477000,123687,600687,0,0,90142,33545,0,0,PricewaterhouseCoopers LLP,27644000,261813000,261813000,435353000,51351000
2008,CATO,CATO,550000,133500,683500,0,0,83500,50000,0,0,PricewaterhouseCoopers LLP,29475000,247370000,247370000,420792000,21583000
2007,CATO,CATO,532000,132500,664500,0,0,27600,104900,0,0,PricewaterhouseCoopers LLP,30829000,276793000,276793000,432322000,24833000
2006,CATO,CATO,519600,126300,645900,0,0,27600,67900,30800,0,PricewaterhouseCoopers LLP,30479000,239948000,239948000,406636000,21734000
2005,CATO,CATO,654250,92750,747000,0,0,26300,66450,0,0,PricewaterhouseCoopers LLP,20264000,211175000,211175000,394134000,18640000
2015,CHS,CHICOS FAS,1145000,225493,1370490,0,0,223498,1995,0,0,Ernst & Young LLP,152935000,688456000,688456000,1438581000,133351000
2014,CHS,CHICOS FAS,974000,173895,1147900,0,0,171900,1995,0,0,Ernst & Young LLP,158793000,619480000,619480000,1371191000,36444000
2013,CHS,CHICOS FAS,923298,52495,975793,0,0,50500,1995,0,0,Ernst & Young LLP,166425000,726752000,726752000,1580628000,56859000
2011,CHS,CHICOS FAS,719700,39595,759295,0,0,37600,1995,0,0,Ernst & Young LLP,177603000,929203000,929203000,1416021000,14695000
2010,CHS,CHICOS FAS,752241,152395,904636,0,0,150400,1995,0,0,Ernst & Young LLP,177982000,846214000,846214000,1318803000,37043000
2009,CHS,CHICOS FAS,680185,128112,808297,0,0,109735,18377,0,0,Ernst & Young LLP,177292000,766492000,766492000,1226183000,26549000
2012,CHS,CHICOS FAS,786270,231568,1017840,0,0,109163,122405,0,0,Ernst & Young LLP,167683000,638423000,638423000,1425152000,58919000
2008,CHS,CHICOS FAS,677000,93766,770766,0,0,61991,31775,0,0,Ernst & Young LLP,176245000,776812000,776812000,1250126000,13801000
2007,CHS,CHICOS FAS,659484,47546,707030,0,0,22946,24600,0,0,Ernst & Young LLP,175749000,707295000,707295000,1058134000,37203000
2006,CHS,CHICOS FAS,630620,80434,711054,0,0,71074,9360,0,0,Ernst & Young LLP,181726000,710590000,710590000,999413000,3035000
2005,CHS,CHICOS FAS,856502,262310,1118810,0,0,246090,16220,0,0,Ernst & Young LLP,178961000,465030000,465030000,715729000,14426000
2004,CHS,CHICOS FAS,301000,209000,510000,0,0,141000,68000,0,0,Ernst & Young LLP,175074000,280678000,280678000,470854000,15676000
2003,CHS,CHICOS FAS,159500,583000,742500,0,0,511000,72000,0,0,Ernst & Young LLP,170564642,240133122,240133122,301543747,8753089
2003,CHS,CHICOS FAS,7000,6000,13000,0,0,0,6000,0,0,Arthur Andersen LLP,170564642,240133122,240133122,301543747,8753089
2002,CHS,CHICOS FAS,143000,120000,263000,0,0,0,0,120000,0,Arthur Andersen LLP,163162636,143494931,143494931,186385360,13376864
2001,CHS,CHICOS FAS,136000,53000,189000,0,0,0,0,53000,0,Arthur Andersen LLP,157336964,84632694,84632694,117806617,3914118
2015,GPS,GAP,4873960,347599,5221560,0,0,86595,256222,4782,0,Deloitte & Touche LLP,423576000,2983000000,2983000000,7690000000,1515000000
2014,GPS,GAP,4734450,314034,5048490,0,0,41901,267779,4354,0,Deloitte & Touche LLP,448975000,3062000000,3062000000,7849000000,1510000000
2012,GPS,GAP,4289000,393000,4682000,0,0,22000,321000,50000,0,Deloitte & Touche LLP,488305000,2755000000,2755000000,7422000000,1885000000
2011,GPS,GAP,4119000,201000,4320000,0,0,12000,185000,4000,0,Deloitte & Touche LLP,614360000,4080000000,4080000000,7065000000,1561000000
2010,GPS,GAP,4216000,296000,4512000,0,0,123000,169000,4000,0,Deloitte & Touche LLP,689993000,4891000000,4891000000,7985000000,2348000000
2009,GPS,GAP,4766000,189000,4955000,0,0,21000,166000,2000,0,Deloitte & Touche LLP,706483000,4190000000,4190000000,7564000000,1756000000
2008,GPS,GAP,4628000,262500,4890500,0,0,97000,164000,1500,0,Deloitte & Touche LLP,734000000,4237000000,4237000000,7838000000,961000000
2007,GPS,GAP,4250000,200000,4450000,0,0,65000,134000,1000,0,Deloitte & Touche LLP,813870000,5174000000,5174000000,8544000000,2074000000
2006,GPS,GAP,4006000,372000,4378000,0,0,135000,87000,150000,0,Deloitte & Touche LLP,856986000,5425000000,5425000000,8821000000,2090000000
2013,GPS,GAP,4530000,391000,4921000,0,0,13000,374000,4000,0,Deloitte & Touche LLP,479419000,2894000000,2894000000,7470000000,1460000000
2005,GPS,GAP,5039000,294000,5333000,0,0,86000,104000,104000,0,Deloitte & Touche LLP,860559077,4936000000,4936000000,10048000000,3260000000
2004,GPS,GAP,2047000,217000,2264000,0,0,93000,29000,95000,0,Deloitte & Touche LLP,897202485,4783000000,4783000000,10343000000,3612000000
2003,GPS,GAP,1262000,2446000,3708000,0,0,1230000,820000,396000,1,Deloitte & Touche LLP,887322707,3272776000,3272776000,9902004000,3388514000
2002,GPS,GAP,996000,1674000,2670000,0,0,0,0,1674000,0,Deloitte & Touche LLP,865726890,2624095000,2624095000,7682823000,1035749000
2001,GPS,GAP,569000,7676000,8245000,0,0,0,0,7676000,0,Deloitte & Touche LLP,853996984,2571066000,2571066000,7012908000,408794000
2015,JCP,J C PENNEY,3705440,404192,4109630,0,0,140192,264000,0,0,KPMG LLP,304852000,1914000000,1914000000,10404000000,119000000
2013,JCP,J C PENNEY,3993610,1265560,5259170,0,0,941857,293700,30000,0,KPMG LLP,219245000,3171000000,3171000000,9781000000,121000000
2012,JCP,J C PENNEY,3920690,1066810,4987500,0,0,712914,353900,0,1,KPMG LLP,213549000,4010000000,4010000000,11424000000,175000000
2011,JCP,J C PENNEY,3865420,899783,4765200,0,0,434283,350500,115000,0,KPMG LLP,236596000,5460000000,5460000000,13068000000,169000000
2010,JCP,J C PENNEY,3832720,873748,4706470,0,0,345548,373200,155000,0,KPMG LLP,236000000,4778000000,4778000000,12581000000,163000000
2009,JCP,J C PENNEY,3918560,906876,4825440,0,0,514376,392500,0,1,KPMG LLP,222258000,4015000000,4015000000,12011000000,2352000000
