DATE,return
26FEB1932,0.0004873888
29FEB1932,-0.007949654
01MAR1932,0.0052660706
02MAR1932,0.0524651981
03MAR1932,-0.001740039
04MAR1932,-0.000232234
07MAR1932,0.0121199614
08MAR1932,0.0184158893
09MAR1932,-0.020943174
10MAR1932,-0.00796817
11MAR1932,-0.031086926
14MAR1932,-0.03023359
15MAR1932,-0.001233502
16MAR1932,-0.023856749
17MAR1932,0.0220036381
18MAR1932,-0.025676155
21MAR1932,0.013609081
22MAR1932,-0.004390098
23MAR1932,-0.011505279
24MAR1932,-0.008299862
28MAR1932,-0.037893219
29MAR1932,0.0054452621
30MAR1932,0.0216189226
31MAR1932,-0.051463858
01APR1932,-0.015124721
04APR1932,-0.01381064
05APR1932,-0.044815772
06APR1932,-0.023936325
07APR1932,-0.0039198
08APR1932,-0.051134299
11APR1932,-0.013766825
12APR1932,0.0046635125
13APR1932,-0.018622512
14APR1932,0.0335909444
15APR1932,0.0190988899
18APR1932,-0.058098354
19APR1932,-0.018242629
20APR1932,-0.004865373
21APR1932,0.0419918448
22APR1932,-0.051794188
25APR1932,0.0006791172
26APR1932,0.013318919
27APR1932,0.0259540149
28APR1932,-0.050881122
29APR1932,-0.040471495
02MAY1932,-0.010062978
03MAY1932,-0.022279957
04MAY1932,0.01339101
05MAY1932,-0.014314798
06MAY1932,0.0868727352
09MAY1932,-0.033954145
10MAY1932,0.0111577169
11MAY1932,0.0025971792
12MAY1932,-0.038964823
13MAY1932,-0.039609138
16MAY1932,0.0093093206
17MAY1932,0.0014814818
18MAY1932,-0.023023946
19MAY1932,0.0062293736
20MAY1932,0.0031939905
23MAY1932,-0.006209447
24MAY1932,-0.041034361
25MAY1932,-0.035021088
26MAY1932,0.0179639506
27MAY1932,-0.051725053
31MAY1932,-0.059229977
01JUN1932,0.004237767
02JUN1932,0.0503469309
03JUN1932,0.0240471598
06JUN1932,0.0188298646
07JUN1932,-0.038231746
08JUN1932,-0.049000846
09JUN1932,0.0026513493
10JUN1932,0.0768466219
13JUN1932,-0.017105002
14JUN1932,0.0183302424
15JUN1932,0.032526457
16JUN1932,-0.005546765
17JUN1932,-0.056807918
20JUN1932,0.0050335677
21JUN1932,-0.025854375
22JUN1932,-0.006677462
23JUN1932,0.0120302203
24JUN1932,-0.043423425
27JUN1932,-0.043529716
28JUN1932,0.0058065429
29JUN1932,0.011054926
30JUN1932,-0.018960106
01JUL1932,0.0355419733
05JUL1932,-0.020943174
06JUL1932,0.0139351198
07JUL1932,-0.052870619
08JUL1932,-0.01421197
11JUL1932,0.042043955
12JUL1932,-0.007237104
13JUL1932,0.0502618348
14JUL1932,-0.012105057
15JUL1932,0.0251655636
18JUL1932,-0.031273489
19JUL1932,-0.006373798
20JUL1932,0.036767199
21JUL1932,0.0232796328
22JUL1932,0.0252694197
25JUL1932,0.0428915646
26JUL1932,-0.014977005
27JUL1932,0.0458338838
28JUL1932,0.0244360403
29JUL1932,0.0240387162
01AUG1932,0.0192967487
02AUG1932,-0.032935447
03AUG1932,0.0909227045
04AUG1932,0.0239298648
05AUG1932,0.048606475
08AUG1932,0.0784686014
09AUG1932,-0.009347943
10AUG1932,0.033856828
11AUG1932,-0.007086587
12AUG1932,-0.087776942
15AUG1932,0.0524730767
16AUG1932,0.0354489931
17AUG1932,-0.020673707
18AUG1932,0.0063501653
19AUG1932,-0.016176059
22AUG1932,0.0585455091
23AUG1932,0.0176228337
24AUG1932,0.0194954005
25AUG1932,-0.003268422
26AUG1932,0.0151620611
29AUG1932,0.0105580667
30AUG1932,-0.012306201
31AUG1932,-0.015462128
01SEP1932,0.0069468372
02SEP1932,0.0412182781
06SEP1932,0.0066212511
07SEP1932,0.0337160617
08SEP1932,-0.031002356
09SEP1932,-0.016918675
12SEP1932,-0.05199124
13SEP1932,-0.034888895
14SEP1932,-0.05851518
15SEP1932,0.0307900574
16SEP1932,-0.012440919
19SEP1932,-0.030874123
20SEP1932,0.0366695177
21SEP1932,0.1076397358
22SEP1932,-0.033140248
23SEP1932,0.0165045007
26SEP1932,-0.039458837
27SEP1932,0.0060329892
28SEP1932,0.0279998983
29SEP1932,-0.027440536
30SEP1932,0.0004193165
03OCT1932,-0.004903001
04OCT1932,-0.000702395
05OCT1932,-0.074216077
06OCT1932,0.0031734065
07OCT1932,-0.056005328
10OCT1932,-0.069369062
11OCT1932,0.0531216203
13OCT1932,-0.031298882
14OCT1932,0.0660434123
17OCT1932,-0.018178008
18OCT1932,0.0126804679
19OCT1932,0.0348251551
20OCT1932,-0.020593935
21OCT1932,-0.054075848
24OCT1932,0.0003277614
25OCT1932,-0.011701823
26OCT1932,0.0170944334
27OCT1932,0.0081156102
28OCT1932,0.0196885111
31OCT1932,-0.019042099
01NOV1932,-0.027515657
02NOV1932,-0.02846508
03NOV1932,-0.004280462
04NOV1932,0.0542658794
07NOV1932,0.0483799046
09NOV1932,-0.046107176
10NOV1932,0.0608630543
11NOV1932,0.0372881411
14NOV1932,-0.03683051
15NOV1932,-0.004738983
16NOV1932,-0.031442279
17NOV1932,-0.003961029
18NOV1932,-0.00047638
21NOV1932,0.0108997209
22NOV1932,-0.007728136
23NOV1932,-0.060199206
25NOV1932,-0.011670323
28NOV1932,0.0066129957
29NOV1932,-0.006783136
30NOV1932,-0.04204928
01DEC1932,0.0292055382
02DEC1932,-0.037044524
05DEC1932,0.0110282156
06DEC1932,0.0525484766
07DEC1932,0.0031839156
08DEC1932,0.0046736857
09DEC1932,0.025159594
12DEC1932,-0.001625224
13DEC1932,-0.018550971
14DEC1932,0.0258437674
15DEC1932,-0.012511334
16DEC1932,-0.010519492
19DEC1932,-0.007296881
20DEC1932,-0.021875346
21DEC1932,0.003227179
22DEC1932,-0.041903637
23DEC1932,0.0044111232
27DEC1932,0.013986242
28DEC1932,0.0043308859
29DEC1932,0.021715823
30DEC1932,0.0190992571
03JAN1933,-0.016227876
04JAN1933,0.0503230144
05JAN1933,-0.001605137
06JAN1933,0.0113410688
