volume,close,return
2.59124,20.3,-0.001966568
1.99258,20.31,0.000492611
2.12378,20.13,-0.008862629
2.9679,20.2,0.003477397
3.81736,20.01,-0.009405941
3.30335,20.14,0.006496752
5.31786,20.79,0.032274081
3.63798,21.06,0.012987013
3.36723,20.95,-0.005223172
3.35931,21.06,0.005250597
4.3006,21.35,0.01377018
11.17942,21.48,0.006088993
10.01484,21.57,0.004189944
7.92832,21.51,-0.002781641
3.88312,21.69,0.008368201
4.04626,21.88,0.008759797
4.3677,22.05,0.007769653
6.65517,22.15,0.004535147
3.67998,21.98,-0.007674944
4.70392,21.93,-0.002274795
4.11233,21.72,-0.009575923
6.73004,22.34,0.02854512
7.09261,22.32,-0.000895255
4.25507,22.42,0.004480287
4.52974,22.4,-0.000892061
3.29294,22.52,0.005357143
4.03446,22.56,0.001776199
3.83125,22.72,0.007092199
2.42022,22.53,-0.008362676
3.9176,22.23,-0.013315579
3.27841,22.05,-0.008097166
2.41618,22.13,0.003628118
3.29546,22.1,-0.001355626
2.95786,22.25,0.00678733
3.56688,22.25,0
2.82725,22.52,0.012134831
4.31407,22.42,-0.004440497
10.78799,21.65,-0.034344335
8.67351,21.33,-0.0147806
5.62973,20.92,-0.019221753
4.22955,20.9,-0.000956023
4.57696,20.9,0
4.28274,20.75,-0.007177033
3.91793,20.7,-0.002409639
4.62313,20.98,0.01352657
4.74752,20.95,-0.001429933
3.00001,21.04,0.004295943
3.27332,21.22,0.008555133
4.52534,20.77,-0.021206409
4.07707,20.53,-0.011555128
4.03068,20.64,0.005358013
2.18164,20.53,-0.005329457
4.10733,20.33,-0.009741841
6.55395,19.67,-0.032464338
5.17603,19.72,0.002541942
4.52875,19.81,0.004563895
3.82834,20.31,0.025239778
2.68459,20.27,-0.001969473
4.10204,20.33,0.002960039
3.54565,20.68,0.017215937
4.77413,20.7,0.000967118
3.30017,20.51,-0.009178744
3.47827,20.78,0.01316431
2.76328,20.77,-0.000481232
3.7857,20.77,0
2.99819,20.46,-0.014925373
3.68172,20.5,0.001955034
4.64665,20.87,0.01804878
3.27512,21,0.006229037
3.35486,21.09,0.004285714
2.76043,21.02,-0.003319109
4.57572,21.14,0.005708849
4.24136,21.41,0.012771996
3.3966,21.25,-0.007473143
4.75366,21.25,0
4.84837,21.56,0.014588235
8.11192,21.32,-0.011131725
9.23307,20.65,-0.031425891
5.08314,20.88,0.011138015
8.08338,20.71,-0.008141762
1.50972,20.65,-0.002897151
2.85571,20.6,-0.002421308
3.83307,20.52,-0.003883495
3.24034,20.27,-0.012183236
5.8785,20.82,0.027133695
4.60895,21.17,0.016810759
4.85091,20.93,-0.011336797
2.98026,21.03,0.004777831
3.27467,20.96,-0.003328578
4.00455,20.73,-0.010973282
2.85405,20.78,0.002411963
3.33482,21,0.010587103
4.18397,20.96,-0.001904762
3.17159,20.95,-0.000477099
2.6551,21.03,0.003818616
